DATA_SOURCE,RECORD_ID,PRIMARY_NAME_FULL,NATIVE_NAME_FULL,SECONDARY_NAME_ORG,PRIMARY_NAME_ORG,PRIMARY_NAME_LAST,PRIMARY_NAME_FIRST,PRIMARY_NAME_MIDDLE,GENDER,DATE_OF_BIRTH,PASSPORT_NUMBER,PASSPORT_COUNTRY,DRIVERS_LICENSE_NUMBER,DRIVERS_LICENSE_STATE,SSN_NUMBER,NATIONAL_ID_NUMBER,NATIONAL_ID_COUNTRY,EMAIL_ADDRESS,ADDR_FULL,ADDR_LINE1,ADDR_CITY,ADDR_STATE,ADDR_POSTAL_CODE,ADDR_COUNTRY,ADDR_TYPE,PHONE_NUMBER,PHONE_TYPE,RECORD_TYPE,REL_ANCHOR_KEY,REL_POINTER_KEY,REL_POINTER_ROLE,AMOUNT,EMPLOYER_NAME,CATEGORY,STATUS,DATE
REFERENCE,2074,,,Universal Exports,Universal Exports Worldwide,,,,,,,,,,,,,,,405 Lexington Avenue,Manhattan,NY,10174,,REGISTERED,,,ORGANIZATION,2074,,,,,Corporation,Active,1990
REFERENCE,2081,Howard Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,PERSON,,2074,Owns 50%,,Universal Exports Worldwide,Owner,Current,
REFERENCE,2091,Margaret Charney,,,,,,,,,,,,,,,,,,,,,,,,,,PERSON,,2074,Owns 50%,,Universal Exports Worldwide,Owner,Current,
REFERENCE,2101,Keeley Jones,,,,,,,,,,,,,,,,kjones@universal.com,,,,,,,,818-892-2818,,PERSON,,2071,Principal,,"Universal Exports, USA",Director,Current,
REFERENCE,2102,"Jones, Kaylee",,,,,,,,,,,,,,,,kjones@universal.com,,,,,,,,18188922818,,PERSON,,,,,,Contact,Active,
REFERENCE,2111,Susan Meyer,,,,,,,,,,,,,,,,,,"Fieldstrasse 10, FL-2198 Triesen",,,,Lichtenstein,PRIMARY,,,PERSON,,2071,Principal,,"Universal Exports, USA",Director,Current,
REFERENCE,2112,Susan Meyer Thomas,,,,,,,,,,,,,,,,,"Fieldstrasse 10, FL-2198 Triesen, Lichtenstein",,,,,,PRIMARY,,,PERSON,,,,,,Contact,Active,
REFERENCE,2121,Kristen Salinger,,,,,,,,,,,,,,,,,,123 King street,New York,NY,10012,,PRIMARY,320-392-2137,MOBILE,PERSON,,2071,Principal,,"Universal Exports, USA",Director,Current,
REFERENCE,2122,"Salenger, Kristin",,,,,,,,,,,,,,,,,,8321 Duke Street,Los Angeles,CA,90015,,PRIMARY,(320) 392-2137,MOBILE,PERSON,,,,,,Contact,Active,
REFERENCE,2131,Rosemay A Thomas,,,,,,,,,,,,,,,,,"18 Danver Place, Loughborough, Leicestershire, LE11 1UU, United Kingdom",,,,,,PRIMARY,,,PERSON,,2071,Principal,,"Universal Exports, USA",Director,Current,
REFERENCE,2132,,,,,Thomas,Rosemary A,,,,,,,,,,,,"18 Danver Place, Loughborough, Leicestershire, United Kingdom, LE11 1UU",,,,,,PRIMARY,,,PERSON,,,,,,Contact,Active,
REFERENCE,2141,,,Universal Exports,Universal Exports Singapore,,,,,,,,,,,,,,"Chinatown Point, 133 New Bridge Road, 059413 singapore",,,,,Singapore,REGISTERED,,,ORGANIZATION,,2074,Global Parent,,,Corporation,Active,1994
REFERENCE,2151,,,Universal Exports,Universal Exports India,,,,,,,,,,,,,,"Mullanpara Road, Vythiri, 673576, India",,,,,,REGISTERED,4936202565,,ORGANIZATION,,2074,Global Parent,,,Corporation,Active,1998
REFERENCE,2161,,,,,Alexopoulos,Anastassia,,,,,,,,,,,Nastassia<patak@universal.com>,,"6781 Metaxa Forest, Suite 296",Athens,GA,30009,,HOME,,,PERSON,,2071,Principal,,"Universal Exports, USA",Director,Current,
REFERENCE,2162,"Alexopoulos, Nastassia",,,,,,,,,,,,,,,,patak@universal.com,,6781 Metaxa Forest,Athens,GA,30009,,PRIMARY,,,PERSON,,,,,,Contact,Active,
